,Date,Unix,Ticker,Price,stock_p_change,SP500,sp500_p_change,Difference,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avl to Common ,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Cash Flow,Beta,Held by Insiders,Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior ,Company Type,Status
312,N/A,N/A,luk,N/A,N/A,N/A,N/A,N/A,N/A,15.67,0.80,0.90,5.42,15.19,2.38,6.54,31.71,9420000000.0,10990000000.0,16.94,1.05,0.94,5.65,0.94,2580000000.0,5.65,N/A,1.69,1.60,5.20,19910000000.0,55.52,21360000000.0,1.26,29.25,1040000000.0,1.21,10.74,77.64,N/A,1.74,0.91,N/A,Financials,status
313,N/A,N/A,luv,N/A,N/A,N/A,N/A,N/A,N/A,18.37,1.71,4.20,9.63,18.17,10.21,24.56,34.03,35560000000.0,36280000000.0,13.47,1.52,1.74,7.34,1.74,14290000000.0,7.34,N/A,3.26,9.00,6.70,3150000000.0,5.27,3120000000.0,0.61,14.25,3940000000.0,1.16,0.19,79.65,N/A,1.75,1.59,N/A,Industrials,status
314,N/A,N/A,lyb,N/A,N/A,N/A,N/A,N/A,N/A,11.62,1.29,6.03,11.40,15.92,13.36,55.62,78.68,41060000000.0,48510000000.0,11.13,1.31,1.52,7.90,1.52,5990000000.0,7.90,N/A,8.96,3.70,14.70,2029999999.9999998,5.12,9100000000.0,2.44,17.27,5280000000.0,1.13,19.92,77.93,N/A,3.98,3.44,N/A,Materials,status
315,N/A,N/A,m,N/A,N/A,N/A,N/A,N/A,N/A,11.00,0.29,1.68,2.71,6.53,5.34,15.89,81.77,7370000000.0,12780000000.0,9.34,0.37,0.51,4.81,0.51,10160000000.0,4.81,N/A,2.20,954.50,5.40,2.57,2.57,6320000000.0,1.42,14.41,1780000000.0,0.59,0.32,86.74,N/A,4.19,11.82,N/A,Consumer Discretionary,status
316,N/A,N/A,ma,N/A,N/A,N/A,N/A,N/A,N/A,37.14,13.87,27.29,38.30,54.43,21.51,74.05,10.55,158470000000.0,158600000000.0,27.93,1.85,13.88,24.01,13.88,10780000000.0,24.01,N/A,4.03,19.70,13.30,6960000000.0,6.53,5330000000.0,1.65,5.49,4400000000.0,1.17,10.84,78.86,N/A,2.68,0.95,N/A,Information Technology,status
317,N/A,N/A,mac,N/A,N/A,N/A,N/A,N/A,N/A,63.15,9.08,2.36,13.73,27.69,1.88,3.61,7.46,9700000000.0,13980000000.0,79.28,314.62,13.09,22.00,13.09,635330000.0,22.00,N/A,1.02,41.10,4.10,87130000.0,0.62,4990000000.0,0.68,27.26,388020000.0,0.61,0.55,103.43,N/A,6.36,8.70,N/A,Real Estate,status
318,N/A,N/A,mar,N/A,N/A,N/A,N/A,N/A,N/A,41.63,10.13,9.68,23.93,48.35,9.04,151.91,12.88,46250000000.0,55110000000.0,26.21,1.89,12.07,21.69,12.07,2630000000.0,21.69,N/A,3.05,67.60,72.00,1.34,1.34,8310000000.000001,0.53,13.10,2020000000.0,1.39,38.96,0.00,N/A,0.11,0.00,N/A,Consumer Discretionary,status
319,N/A,N/A,mas,N/A,N/A,N/A,N/A,N/A,N/A,26.28,1.79,2.04,7.10,14.64,12.65,818.57,23.38,13370000000.0,15200000000.0,18.97,1.19,2.04,12.40,2.04,2460000000.0,12.40,N/A,1.62,5.30,2.80,1140000000.0,3.6,3080000000.0,1.95,0.41,251500000.0,1.44,0.57,93.64,N/A,0.00,0.00,N/A,Industrials,status
320,N/A,N/A,mat,N/A,N/A,N/A,N/A,N/A,N/A,24.76,1.11,2.86,4.51,8.01,4.42,11.00,15.58,5930000000.0,8620000000.0,33.19,30.82,1.62,12.55,1.62,2550000000.0,12.55,N/A,0.70,275390000.0,1.80,275390000.0,0.8,2640000000.0,1.42,6.03,286040000.0,0.59,0.35,116.81,N/A,4.26,11.15,N/A,Consumer Discretionary,status
321,N/A,N/A,mcd,N/A,N/A,N/A,N/A,N/A,N/A,28.30,5.70,6.84,21.00,33.85,15.52,24180000000.0,29.35,137810000000.0,165260000000.0,24.70,2.91,6.84,17.22,6.84,10200000000.0,17.22,N/A,6.11,27.70,3.40,2390000000.0,2.95,28360000000.0,2.15,2.47,5820000000.0,0.82,0.06,68.33,N/A,2.53,1.06,N/A,Consumer Discretionary,status
322,N/A,N/A,mchp,N/A,N/A,N/A,N/A,N/A,N/A,46.88,5.68,5.93,12.53,20.86,6.12,15.15,16.20,20350000000.0,22010000000.0,14.95,0.70,6.15,17.54,6.15,1760000000.0,17.54,N/A,1.86,1230000000.0,21.60,1230000000.0,5.29,87.77,3.12,14.66,1180000000.0,1.22,2.09,109.44,N/A,13.37,11.32,N/A,Information Technology,status
323,N/A,N/A,mck,N/A,N/A,N/A,N/A,N/A,N/A,6.64,0.15,2.72,2.42,1.54,3.20,41.85,918.85,30520000000.0,36700000000.0,11.29,3.92,0.18,9.31,0.18,11270000000.0,9.31,N/A,22.04,43.00,2.70,2340000000.0,11.12,7980000000.0,1.05,53.76,3630000000.0,1.25,2.66,0.00,N/A,1.89,1.65,N/A,Health Care,status
324,N/A,N/A,mco,N/A,N/A,N/A,N/A,N/A,N/A,60.79,7.54,7.96,12.63,44.53,18.43,3830000000.0,20.06,28900000000.0,30520000000.0,23.17,1.90,7.96,16.60,7.96,2580000000.0,16.60,N/A,2.49,22.20,7.70,3370000000.0,17.63,4890000000.0,3.68,3.56,1.07,1.07,0.49,90.44,N/A,6.24,2.74,N/A,Financials,status
325,N/A,N/A,mcp,N/A,N/A,N/A,N/A,N/A,N/A,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,N/A,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,N/A,N/A,N/A,N/A,N/A,N/A,Financials,status
326,N/A,N/A,mdlz,N/A,N/A,N/A,N/A,N/A,N/A,37.75,2.51,2.52,6.92,13.91,3.53,6.64,16.64,64140000000.0,82310000000.0,18.19,1.88,3.22,18.85,3.22,10130000000.0,18.85,N/A,1.14,7.30,5.00,1440000000.0,0.96,19040000000.0,0.53,17.02,2760000000.0,0.72,0.70,78.05,N/A,2.68,1.09,N/A,Financials,status
327,N/A,N/A,mdt,N/A,N/A,N/A,N/A,N/A,N/A,27.35,3.67,2.17,13.75,21.30,4.01,8.07,21.83,110010000000.0,131020000000.00002,15.72,2.35,4.38,14.25,4.38,20480000000.0,14.25,N/A,2.97,9.40,3.10,13090000000.0,9.66,34020000000.000004,1.64,37.41,6070000000.0,0.74,0.05,84.61,N/A,1.86,0.62,N/A,Health Care,status
328,N/A,N/A,met,N/A,N/A,N/A,N/A,N/A,N/A,630.71,0.89,0.82,0.32,0.71,0.03,0.27,57.93,56410000000.0,87420000000.0,11.24,1.35,1.38,106.94,1.38,22670000000.0,106.94,N/A,0.09,703.60,13.20,31630000000.0,29.76,61990000000.0,0.98,65.31,14120000000.0,1.46,81.90,0.00,N/A,2.16,1.22,N/A,Financials,status
329,N/A,N/A,mgm,N/A,N/A,N/A,N/A,N/A,N/A,20.14,1.94,3.00,9.85,15.77,3.55,11.36,17.34,19260000000.0,31010000000.0,22.83,3.82,3.12,12.81,3.12,3960000000.0,12.81,N/A,1.69,55.60,17.20,1760000000.0,3.06,13200000000.0,0.93,11.32,1860000000.0,1.71,8.74,85.47,N/A,1.98,3.04,N/A,Consumer Discretionary,status
330,N/A,N/A,mhfi,N/A,N/A,N/A,N/A,N/A,N/A,108.24,108.24,108.24,108.24,108.24,108.24,108.24,108.24,108.24,108.24,108.24,108.24,108.24,108.24,108.24,108.24,108.24,N/A,108.24,108.24,108.24,108.24,108.24,108.24,108.24,108.24,108.24,108.24,N/A,N/A,N/A,N/A,N/A,N/A,Consumer Discretionary,status
331,N/A,N/A,mjn,N/A,N/A,N/A,N/A,N/A,N/A,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,N/A,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,N/A,N/A,N/A,N/A,N/A,N/A,Consumer Discretionary,status
332,N/A,N/A,mkc,N/A,N/A,N/A,N/A,N/A,N/A,28.55,2.95,5.34,10.05,15.28,5.78,21.31,36.38,13470000000.0,18600000000.0,22.12,2.29,4.07,23.32,4.07,1830000000.0,23.32,N/A,3.60,15.30,8.60,166400000.0,1.27,5380000000.0,0.95,19.25,638700000.0,0.32,0.28,86.70,N/A,6.02,0.00,N/A,Consumer Staples,status
333,N/A,N/A,mmc,N/A,N/A,N/A,N/A,N/A,N/A,23.50,3.22,6.24,13.97,20.58,9.26,27.72,26.18,43410000000.0,47520000000.0,20.35,2.19,3.52,14.71,3.52,13210000000.0,14.71,N/A,3.62,6.10,3.50,1.88,1.88,5640000000.0,1.42,13.64,2120000000.0,0.99,0.18,88.04,N/A,2.58,0.97,N/A,Financials,status
334,N/A,N/A,mmm,N/A,N/A,N/A,N/A,N/A,N/A,27.51,4.70,12.42,17.65,23.18,13.17,45.78,50.88,143630000000.0,152420000000.0,4.70,4.70,4.99,17.87,4.99,15070000000.0,17.87,N/A,8.77,22.60,1.90,2800000000.0,4.68,11310000000.0,2.22,19.42,6750000000.0,0.93,9.74,10.42,N/A,1.7,0.07,N/A,Industrials,status
335,N/A,N/A,mnst,N/A,N/A,N/A,N/A,N/A,N/A,47.59,11.12,9.47,23.98,38.66,17.68,21.96,5.61,35480000000.0,34060000000.000004,37.01,2.15,10.68,26.66,10.68,1940000000.0,26.66,N/A,1.32,20.90,9.60,1100000000.0,1.94,3.35,3.35,6.65,987020000.0,0.89,32.20,66.65,N/A,4.24,1.87,N/A,Consumer Staples,status
336,N/A,N/A,mo,N/A,N/A,N/A,N/A,N/A,N/A,9.04,6.71,10.65,0.00,50.30,19510000000.0,19510000000.0,10.10,130860000000.00002,9.04,19.16,2.55,0.00,0.00,0.00,11590000000.0,0.00,N/A,7.58,2580000000.0,11590000000.0,2580000000.0,13890000000.0,13890000000.0,6.44,6.44,4430000000.0,0.42,0.11,64.91,N/A,1.46,0.47,N/A,Consumer Staples,status
337,N/A,N/A,molx,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Consumer Staples,status
338,N/A,N/A,mon,N/A,N/A,N/A,N/A,N/A,N/A,23.37,3.58,8.12,15.44,23.35,10.41,41.08,33.36,52350000000.0,58360000000.0,19.15,2.60,3.99,14.01,3.99,7940000000.0,14.01,N/A,5.09,1770000000.0,4.80,1770000000.0,4.03,8119999999.999999,1.35,14.65,3230000000.0,0.98,72.70,0.18,N/A,1.66,0.78,N/A,Materials,status
339,N/A,N/A,mos,N/A,N/A,N/A,N/A,N/A,N/A,57.81,1.19,0.87,2.06,5.28,1.34,1.53,20.39,8520000000.0,11770000000.0,22.28,3.66,1.65,10.96,1.65,1070000000.0000001,10.96,N/A,0.42,660600000.0,4.80,660600000.0,1.88,3910000000.0,1.78,27.79,805500000.0,1.50,0.18,80.88,N/A,4.13,5.19,N/A,Materials,status
340,N/A,N/A,mpc,N/A,N/A,N/A,N/A,N/A,N/A,37.47,0.50,2.52,1.45,3.85,3.27,5.70,116.45,30690000000.0,42860000000.0,14.25,0.91,0.70,9.71,0.70,13660000000.0,9.71,N/A,1.68,39.70,9.30,1450000000.0,2.86,12610000000.0,1.54,24.97,3350000000.0,1.68,66.72,0.00,N/A,0.00,0.00,N/A,Energy,status
341,N/A,N/A,mrk,N/A,N/A,N/A,N/A,N/A,N/A,30.25,3.80,3.86,12.71,27.16,7.18,12.29,14.55,152210000000.0,165320000000.0,13.73,3.04,4.13,10.70,4.13,25920000000.0,10.70,N/A,1.85,61.50,0.90,11970000000.0,4.39,24910000000.0,1.50,14.47,10210000000.0,0.88,0.05,75.98,N/A,1.79,0.62,N/A,Health Care,status
342,N/A,N/A,mro,N/A,N/A,N/A,N/A,N/A,N/A,116.00,2.72,1.03,141.62,14.59,1.51,11.69,5.54,12810000000.0,17129999999.999998,116.00,0.30,3.64,8.74,3.64,2720000000.0,8.74,N/A,7.84,2670000000.0,29.80,2670000000.0,3.14,7260000000.0,2.12,14.59,1850000000.0,2.88,0.22,82.39,N/A,3.36,6.92,N/A,Energy,status
343,N/A,N/A,ms,N/A,N/A,N/A,N/A,N/A,N/A,14.43,2.51,1.36,19.04,33.61,37470000000.0,37470000000.0,20.89,93920000000.0,180150000000.0,12.86,0.99,4.81,19.04,4.81,34630000000.0,19.04,N/A,3.60,11.50,3.20,570960000000.0,315.1,296720000000.0,38.22,38.22,1.58,1.58,24.10,63.31,N/A,1.45,0.99,N/A,Financials,status
344,N/A,N/A,msft,N/A,N/A,N/A,N/A,N/A,N/A,31.09,7.23,8.97,23.57,25.16,6.51,29.37,11.61,650030000000.0,607890000000.0,22.29,2.35,6.76,19.98,6.76,55690000000.0,19.98,N/A,2.71,108.60,13.10,129210000000.00002,16.77,88800000000.0,2.48,9.39,39510000000.0,1.50,1.38,75.52,N/A,1.95,0.61,N/A,Information Technology,status
345,N/A,N/A,msi,N/A,N/A,N/A,N/A,N/A,N/A,24.53,2.43,3.07,10.40,20.80,9.60,6190000000.0,37.54,15070000000.0,18980000000.0,15.90,2.33,3.07,11.83,3.07,2870000000.0,11.83,N/A,3.79,22.40,4.70,4.87,4.87,4470000000.0,1.33,6.07,1180000000.0,0.34,0.31,91.06,N/A,6.66,4.62,N/A,Information Technology,status
346,N/A,N/A,mtb,N/A,N/A,N/A,N/A,N/A,N/A,19.84,4.87,1.72,26.94,44.36,1.15,8.61,33.89,25510000000.0,28670000000.0,16.95,1.82,5.48,26.94,5.48,1320000000.0,26.94,N/A,8.54,13.40,5.20,6540000000.0,43.07,9460000000.0,98.69,98.69,2160000000.0,1.01,6.30,79.61,N/A,0.00,0.00,N/A,Financials,status
347,N/A,N/A,mu,N/A,N/A,N/A,N/A,N/A,N/A,9.52,2.38,2.50,25.04,29.55,11.94,31.42,18.66,48430000000.0,52270000000.0,6.20,0.30,2.57,5.37,2.57,8439999999.999999,5.37,N/A,4.41,5430000000.0,90.80,5430000000.0,4.89,11130000000.0,2.34,16.79,2.14,2.14,4.40,85.35,N/A,1.77,5.16,N/A,Information Technology,status
348,N/A,N/A,mur,N/A,N/A,N/A,N/A,N/A,N/A,171.94,2.49,1.01,1.94,7.75,0.98,0.73,11.74,5040000000.0,6680000000.0,171.94,2.03,3.30,5.07,3.30,1250000000.0,5.07,N/A,0.23,1100000000.0,23.90,1100000000.0,6.37,2930000000.0,1.13,28.84,1080000000.0,2.72,5.81,103.82,N/A,0.00,0.00,N/A,Information Technology,status
349,N/A,N/A,mwv,N/A,N/A,N/A,N/A,N/A,N/A,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,N/A,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,N/A,N/A,N/A,N/A,N/A,N/A,Information Technology,status
350,N/A,N/A,myl,N/A,N/A,N/A,N/A,N/A,N/A,30.82,1.71,1.59,0.00,18.37,11940000000.0,11940000000.0,22.32,20450000000.0,30.82,7.11,1.91,0.00,0.00,0.00,5010000000.0,0.00,N/A,1.24,760500000.0,5010000000.0,760500000.0,14720000000.0,14720000000.0,23.94,23.94,1920000000.0,1.51,5.52,77.94,N/A,6.64,4.74,N/A,Health Care,status
351,N/A,N/A,nbl,N/A,N/A,N/A,N/A,N/A,N/A,675.00,3.37,1.32,48.35,19.03,2.09,18.51,8.77,13040000000.0,19400000000.0,675.00,233.78,5.01,11.09,5.01,2410000000.0,11.09,N/A,4.24,1.14,22.70,1.14,1.14,7200000000.0,0.99,20.41,1790000000.0,0.97,1.14,96.38,N/A,0.00,0.00,N/A,Energy,status
352,N/A,N/A,nbr,N/A,N/A,N/A,N/A,N/A,N/A,7.76,0.81,0.60,32.35,14.00,2.35,20.34,8.12,1820000000.0,5330000000.0,7.76,0.52,2.36,9.94,2.36,535840000.00000006,9.94,N/A,2.57,232040000.0,10.50,232040000.0,0.81,3740000000.0,1.34,10.67,185700000.0,1.38,10.53,99.36,N/A,3.4,10.28,N/A,Energy,status
353,N/A,N/A,ndaq,N/A,N/A,N/A,N/A,N/A,N/A,60.23,3.40,2.37,5.76,26.46,4.30,3.95,23.36,13180000000.0,16260000000.000002,17.77,2.03,4.20,13.46,4.20,2140000000.0000002,13.46,N/A,1.32,110.00,11.50,2.97,2.97,3550000000.0,0.99,33.51,595120000.0,0.63,18.99,78.82,N/A,4.84,2.89,N/A,Financials,status
354,N/A,N/A,ne,N/A,N/A,N/A,N/A,N/A,N/A,3.05,0.78,0.20,125.16,4.07,0.30,24.58,5.74,1090000000.0,4530000000.0,3.05,0.02,3.24,7.09,3.24,1360000000.0,7.09,N/A,7.18,602980000.0,69.00,602980000.0,2.46,4040000000.0,1.45,21.95,523340000.00000006,2.44,1.13,92.66,N/A,4.22,22.19,N/A,Financials,status
355,N/A,N/A,nee,N/A,N/A,N/A,N/A,N/A,N/A,18.04,4.39,2.85,24.26,28.11,3.33,16.56,36.19,74070000000.0,107770000000.0,21.69,2.93,6.38,12.98,6.38,8720000000.0,12.98,N/A,8.73,46.90,15.40,1.37,1.37,34520000000.0,0.66,55.25,6230000000.0,0.17,0.17,78.34,N/A,0.19,0.00,N/A,Utilities,status
356,N/A,N/A,nem,N/A,N/A,N/A,N/A,N/A,N/A,26.95,2.79,1.81,6.73,21.37,4.14,3.91,13.39,19830000000.0,21290000000.0,26.95,8.51,2.99,7.71,2.99,2940000000.0,7.71,N/A,0.90,669.60,12.30,3170000000.0,5.94,4620000000.0,3.24,20.49,2380000000.0,0.19,0.29,85.27,N/A,1.56,1.62,N/A,Materials,status
357,N/A,N/A,nflx,N/A,N/A,N/A,N/A,N/A,N/A,186.63,7.43,24.28,4.04,6.87,3.19,15.03,25.25,80840000000.0,84250000000.0,82.66,2.45,7.74,103.46,7.74,2800000000.0,103.46,N/A,1.00,151.50,30.30,1750000000.0,4.04,4890000000.0,1.20,7.70,1860000000.0,0.68,1.80,85.17,N/A,3.07,7.61,N/A,Information Technology,status
358,N/A,N/A,nfx,N/A,N/A,N/A,N/A,N/A,N/A,20.67,3.87,5.22,18.82,27.80,6.36,29.44,8.19,6300000000.0,7830000000.0,12.36,0.75,4.82,8.67,4.82,1.54,8.67,N/A,1.54,2.77,5.50,2.77,2.77,2430000000.0,1.30,6.11,43500000.0,1.37,0.75,103.59,N/A,3.07,7.19,N/A,Energy,status
359,N/A,N/A,ni,N/A,N/A,N/A,N/A,N/A,N/A,31.71,1.94,2.16,5.96,18.51,3.01,7.05,14.68,9200000000.0,17160000000.0,21.35,3.02,3.62,12.26,3.62,3100000000.0,12.26,N/A,0.86,17900000.0,10.40,17900000.0,0.05,8270000000.0,0.46,12.66,967600000.0,0.15,0.34,84.45,N/A,0.00,0.00,N/A,Utilities,status
360,N/A,N/A,nile,N/A,N/A,N/A,N/A,N/A,N/A,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,N/A,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,N/A,N/A,N/A,N/A,N/A,N/A,Utilities,status
361,N/A,N/A,nke,N/A,N/A,N/A,N/A,N/A,N/A,25.49,2.84,8.17,11.47,13.47,12.92,32.63,20.83,97700000000.0,96770000000.0,22.51,3.05,2.82,18.09,2.82,15310000000.0,18.09,N/A,2.35,23.90,0.10,5520000000.0,3.38,3810000000.0,2.67,7.33,3430000000.0,0.51,1.89,81.38,N/A,0.00,0.00,N/A,Consumer Discretionary,status
362,N/A,N/A,nly,N/A,N/A,N/A,N/A,N/A,N/A,4.08,4.61,1.05,0.00,92.02,2970000000.0,2970000000.0,2.87,13680000000.0,4.08,10.00,21.15,0.00,0.00,0.00,2570000000.0,0.00,N/A,2.89,457050000.0,2570000000.0,457050000.0,77500000000.0,77500000000.0,11.19,11.19,10980000000.0,0.24,0.31,57.29,N/A,5.32,3.72,N/A,Consumer Discretionary,status
363,N/A,N/A,noc,N/A,N/A,N/A,N/A,N/A,N/A,22.89,2.07,8.82,9.21,13.27,8.38,39.98,143.23,52160000000.0,57860000000.0,22.49,2.56,2.30,15.22,2.30,5780000000.0,15.22,N/A,13.09,6.80,6.20,1380000000.0,7.94,7080000000.0,1.11,33.99,2340000000.0,0.69,0.49,82.69,N/A,2.39,1.07,N/A,Industrials,status
364,N/A,N/A,nok,N/A,N/A,N/A,N/A,N/A,N/A,15.00,0.99,1.37,1.78,4.85,1.61,1.79,4.87,27470000000.0,22790000000.0,15.00,0.69,0.82,7.05,0.82,8730000000.0,7.05,N/A,0.09,9870000000.0,0.80,9870000000.0,1.75,4690000000.0,1.57,3.62,1550000000.0,0.94,0.00,6.09,N/A,1.31,0.00,N/A,Industrials,status
365,N/A,N/A,nov,N/A,N/A,N/A,N/A,N/A,N/A,106.53,1.89,0.93,33.24,16.66,3.19,15.06,18.14,12960000000.0,14640000000.0,106.53,0.29,2.14,33.27,2.14,2270000000.0,33.27,N/A,6.03,1530000000.0,2.00,1530000000.0,4.03,3210000000.0,2.71,36.71,0.87,0.87,0.31,95.49,N/A,7.83,8.13,N/A,Energy,status
366,N/A,N/A,nrg,N/A,N/A,N/A,N/A,N/A,N/A,12.88,0.71,8.65,10.98,8.31,2.30,17.08,39.58,8850000000.0,25960000000.0,12.88,0.24,2.07,10.37,2.07,3800000000.0,10.37,N/A,4.35,2.39,20.20,2.39,2.39,16980000000.0,1.27,3.23,1340000000.0,1.44,0.58,100.95,N/A,0.68,0.00,N/A,Utilities,status
367,N/A,N/A,nsc,N/A,N/A,N/A,N/A,N/A,N/A,22.34,3.85,3.13,17.66,31.70,5.85,14.49,35.17,39350000000.0,48820000000.0,19.37,1.76,4.77,11.39,4.77,6840000000.0,11.39,N/A,6.15,22.70,7.50,2.23,2.23,10150000000.0,0.83,43.94,3180000000.0,1.51,0.17,74.39,N/A,1.19,1.19,N/A,Industrials,status
368,N/A,N/A,ntap,N/A,N/A,N/A,N/A,N/A,N/A,27.24,2.74,5.50,10.47,13.73,5.18,20.90,20.35,15220000000.0,12360000000.0,15.50,1.16,2.23,13.04,2.23,3390000000.0,13.04,N/A,2.07,112.50,2.40,5330000000.0,19.75,2520000000.0,1.47,10.25,1010000000.0,1.68,0.07,98.33,N/A,2.86,5.25,N/A,Information Technology,status
369,N/A,N/A,ntri,N/A,N/A,N/A,N/A,N/A,N/A,30.51,2.29,11.99,7.60,11.24,27.73,47.74,21.75,1470000000.0,1380000000.0,21.79,1.49,2.16,16.06,2.16,288460000.0,16.06,N/A,1.61,51.60,30.10,81110000.0,2.72,2.12,2.12,4.11,56360000.0,0.79,2.02,106.19,N/A,6.09,13.90,N/A,Information Technology,status
370,N/A,N/A,ntrs,N/A,N/A,N/A,N/A,N/A,N/A,22.17,4.36,2.43,20.97,30.85,0.86,11.23,22.33,22210000000.0,17810000000.0,18.15,1.66,3.50,20.97,3.50,1010000000.0,20.97,N/A,4.41,1.90,0.60,13920000000.0,60.93,9420000000.0,40.20,40.20,2330000000.0,1.10,0.50,83.36,N/A,1.34,0.95,N/A,Financials,status
371,N/A,N/A,nu,N/A,N/A,N/A,N/A,N/A,N/A,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,N/A,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,N/A,N/A,N/A,N/A,N/A,N/A,Utilities,status
372,N/A,N/A,nue,N/A,N/A,N/A,N/A,N/A,N/A,16.09,1.00,2.18,6.28,10.73,7.88,14.74,56.98,18220000000.0,21140000000.0,12.99,0.75,1.16,7.93,1.16,2029999999.9999998,7.93,N/A,3.56,32.60,21.90,1560000000.0,4.89,4380000000.0,2.16,26.23,1220000000.0,1.79,0.42,78.94,N/A,1.99,1.75,N/A,Materials,status
373,N/A,N/A,nus,N/A,N/A,N/A,N/A,N/A,N/A,22.19,1.60,5.03,7.53,11.63,9.66,21.52,40.58,3490000000.0,3670000000.0,18.90,2.48,1.68,11.22,1.68,1710000000.0,11.22,N/A,2.99,6.00,8.40,353080000.0,6.67,424590000.0,1.80,13.20,223470000.0,0.59,2.88,79.40,N/A,10.12,14.78,N/A,Materials,status
374,N/A,N/A,nvda,N/A,N/A,N/A,N/A,N/A,N/A,56.85,14.36,19.86,27.42,31.46,19.46,43.78,14.63,119790000000.0,116620000000.0,41.88,3.09,13.98,41.42,13.98,4059999999.9999995,41.42,N/A,3.48,123.40,56.20,5880000000.0,9.8,2080000000.0,7.82,9.95,2140000000.0000002,1.52,4.50,65.42,N/A,0.87,3.45,N/A,Information Technology,status
375,N/A,N/A,nwl,N/A,N/A,N/A,N/A,N/A,N/A,12.58,1.00,1.24,7.87,13.27,3.76,10.28,31.83,15440000000.0,26060000000.0,10.61,1.87,1.69,9.90,1.69,4400000000.0,9.90,N/A,2.50,64.90,5.10,780200000.0,1.59,11390000000.0,1.49,25.33,1250000000.0,1.21,0.94,96.46,N/A,6.93,3.29,N/A,Consumer Discretionary,status
376,N/A,N/A,nwsa,N/A,N/A,N/A,N/A,N/A,N/A,28.42,1.17,0.87,9.07,5.61,1.90,5.62,14.00,9490000000.0,7880000000.0,28.42,2.17,0.97,10.67,0.97,1.27,10.67,N/A,1.27,2020000000.0,6.60,2020000000.0,3.46,3.42,1.56,18.54,684630000.0,2.13,0.59,96.23,N/A,3.58,1.42,N/A,Consumer Discretionary,status
377,N/A,N/A,nyx,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Consumer Discretionary,status
378,N/A,N/A,oi,N/A,N/A,N/A,N/A,N/A,N/A,17.53,0.59,5.88,3.35,9.69,4.18,40.10,41.39,3940000000.0,9350000000.0,8.58,1.00,1.39,8.82,1.39,1210000000.0,8.82,N/A,1.38,33.30,0.50,2.06,2.06,5740000000.0,1.27,4.11,385500000.0,1.29,0.75,96.69,N/A,4.6,2.95,N/A,Consumer Discretionary,status
379,N/A,N/A,oke,N/A,N/A,N/A,N/A,N/A,N/A,32.65,1.91,3.66,3.26,12.24,4.94,16.60,49.58,19980000000.0,28450000000.0,23.79,3.09,2.71,16.92,2.71,2420000000.0,16.92,N/A,1.60,16.60,27.70,332860000.0,0.88,9620000000.0,0.51,14.23,1460000000.0,1.17,0.63,72.44,N/A,2.02,7.49,N/A,Energy,status
380,N/A,N/A,omc,N/A,N/A,N/A,N/A,N/A,N/A,14.82,1.10,7.51,7.72,13.31,15340000000.0,15340000000.0,65.68,16920000000.000002,19930000000.0,13.49,1.73,1.30,8.57,1.30,2750000000.0,8.57,N/A,4.95,3.90,1.90,1870000000.0,8.12,4980000000.0,9.78,9.78,1440000000.0,1.17,0.74,105.58,N/A,11.76,9.25,N/A,Consumer Discretionary,status
